t,filename,timestamp,S1,S2
0,2003.10.22.12.06.24,2003-10-22 12:06:24,0.12461381908219489,0.11749315326627814
1,2003.10.22.12.09.13,2003-10-22 12:09:13,0.12381119580648291,0.11683251358448447
2,2003.10.22.12.14.13,2003-10-22 12:14:13,0.125246370877438,0.11838443959029994
3,2003.10.22.12.19.13,2003-10-22 12:19:13,0.1251974606387471,0.11900456965031322
4,2003.10.22.12.24.13,2003-10-22 12:24:13,0.12561814016563005,0.11968849195900948
5,2003.10.22.12.29.13,2003-10-22 12:29:13,0.12598810610870922,0.11928294573231382
6,2003.10.22.12.34.13,2003-10-22 12:34:13,0.1254834547345162,0.118342742024358
7,2003.10.22.12.39.13,2003-10-22 12:39:13,0.12507391310834717,0.11872070732461229
8,2003.10.22.12.44.13,2003-10-22 12:44:13,0.12539559920040305,0.11917781571170241
9,2003.10.22.12.49.13,2003-10-22 12:49:13,0.12482766323140276,0.11872403272827968
10,2003.10.22.12.54.13,2003-10-22 12:54:13,0.12513830668816506,0.11929895565474369
11,2003.10.22.12.59.13,2003-10-22 12:59:13,0.12481685430718331,0.1188369227512408
12,2003.10.22.13.04.13,2003-10-22 13:04:13,0.12414192376601921,0.11833768592530552
13,2003.10.22.13.09.13,2003-10-22 13:09:13,0.12444903026063521,0.11842082089021551
14,2003.10.22.13.14.13,2003-10-22 13:14:13,0.12467762374733186,0.11853295440212766
15,2003.10.22.13.19.13,2003-10-22 13:19:13,0.12854707840782498,0.1231637760165555
16,2003.10.22.13.24.13,2003-10-22 13:24:13,0.1266232757240079,0.11852378164911147
17,2003.10.22.13.29.13,2003-10-22 13:29:13,0.12733308448434316,0.12034981138169422
18,2003.10.22.13.34.13,2003-10-22 13:34:13,0.12591842849545745,0.11905196127079082
19,2003.10.22.13.39.13,2003-10-22 13:39:13,0.12636422431804026,0.11959571178492877
20,2003.10.22.13.44.13,2003-10-22 13:44:13,0.12644587083789305,0.11851332026434044
21,2003.10.22.13.49.13,2003-10-22 13:49:13,0.12721884173111406,0.12087568753036114
22,2003.10.22.13.54.13,2003-10-22 13:54:13,0.12628998805916633,0.11950958627213759
23,2003.10.22.13.59.13,2003-10-22 13:59:13,0.12775051235984583,0.12072897194944034
24,2003.10.22.14.04.13,2003-10-22 14:04:13,0.12559320046066635,0.11874047186281148
25,2003.10.22.14.09.13,2003-10-22 14:09:13,0.12581248137108655,0.11827949738628891
26,2003.10.22.14.14.13,2003-10-22 14:14:13,0.12675109771313373,0.11910959308979115
27,2003.10.22.14.19.13,2003-10-22 14:19:13,0.12589396386133353,0.11877843224591271
28,2003.10.22.14.24.13,2003-10-22 14:24:13,0.12770694124360224,0.11969400112892041
29,2003.10.22.14.29.13,2003-10-22 14:29:13,0.12737957605709158,0.12020084530855274
30,2003.10.22.14.34.13,2003-10-22 14:34:13,0.12581847391741108,0.11849871356764806
31,2003.10.22.14.39.13,2003-10-22 14:39:13,0.12645062107523436,0.11877234945934913
32,2003.10.22.14.44.13,2003-10-22 14:44:13,0.1269978340504893,0.11979654607363217
33,2003.10.22.14.49.13,2003-10-22 14:49:13,0.12617595349445304,0.11934648260487718
34,2003.10.22.14.54.13,2003-10-22 14:54:13,0.12633505643476398,0.11897266152126346
35,2003.10.22.14.59.13,2003-10-22 14:59:13,0.12576955516284288,0.11858486873859583
36,2003.10.22.15.04.13,2003-10-22 15:04:13,0.12572201827407262,0.11880555074035366
37,2003.10.22.15.09.13,2003-10-22 15:09:13,0.1253454710365516,0.11850543895745883
38,2003.10.22.15.14.13,2003-10-22 15:14:13,0.1258592219505587,0.11911032606533585
39,2003.10.22.15.19.13,2003-10-22 15:19:13,0.12527796847317418,0.11932339362264636
40,2003.10.22.15.24.13,2003-10-22 15:24:13,0.12537492736631745,0.11897199439035538
